#
#--------LOG from Thu 29 Sep 2016 at 13h:04m:58s ---------
#
-300.0008	-4.430558e-09	1475172314.93
-300.0009	-1.662308e-09	1475172327.34
-300.0012	-1.052632e-09	1475172339.76
-300.0015	-3.078403e-10	1475172352.17
-300.0018	-2.534602e-10	1475172364.59
-300.0013	-2.847661e-10	1475172377.0
-300.0013	-1.331695e-10	1475172389.42
-300.0011	3.001936e-10	1475172401.84
-300.0011	2.985495e-10	1475172414.25
-300.0009	5.127608e-10	1475172426.67
-300.0013	-2.123435e-08	1475172439.08
-300.0012	-2.072188e-08	1475172451.09
-300.0013	-2.273707e-08	1475172463.51
-300.0006	-2.442436e-08	1475172475.92
-300.0009	-2.600949e-08	1475172488.33
-300.0012	-2.666857e-08	1475172500.74
-300.0014	-2.728812e-08	1475172513.15
-300.0009	-2.770004e-08	1475172525.57
-300.0009	-2.844481e-08	1475172537.97
-300.0003	-2.807735e-08	1475172550.38
-300.0006	-2.873479e-08	1475172562.79
-300.0011	-3.225107e-08	1475172575.2
-300.0015	-3.293982e-08	1475172587.61
-300.0012	-3.143541e-08	1475172600.02
-300.0009	-3.193961e-08	1475172612.43
-300.0009	-2.881546e-08	1475172624.84
-300.0009	-2.757635e-08	1475172637.25
-300.0007	-2.856992e-08	1475172649.67
-300.0009	-2.68233e-08	1475172662.08
-300.0008	-2.705562e-08	1475172674.49
-300.0007	-2.965081e-08	1475172686.9
-300.0015	-3.067074e-08	1475172699.31
-300.0015	-2.97414e-08	1475172711.72
-300.001	-3.019452e-08	1475172724.13
-300.0018	-2.963922e-08	1475172736.54
-300.0019	-2.975784e-08	1475172748.96
-300.0017	-2.877248e-08	1475172761.37
-300.0013	-2.864723e-08	1475172773.78
-300.0011	-2.803262e-08	1475172786.19
-300.0013	-2.719391e-08	1475172798.61
-300.0014	-2.772282e-08	1475172811.02
-300.0012	-2.931287e-08	1475172823.43
-300.0014	-3.202834e-08	1475172835.84
-300.0012	-2.937051e-08	1475172848.25
-300.0012	-3.13758e-08	1475172860.66
-300.0016	-3.150431e-08	1475172873.08
-300.0009	-2.918924e-08	1475172885.49
-300.0009	-2.881518e-08	1475172897.9
-300.0006	-2.911012e-08	1475172910.31
-300.0005	-3.00279e-08	1475172922.73
-300.0009	-2.757441e-08	1475172935.14
