Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         49.7 +/- 6.5263       748             0.0256
ROC 1         49.38 +/- 5.4607       428             0.0395
ROC 2         48.62 +/- 5.583       549             0.0318
ROC 4         49.4 +/- 5.4409       794             0.0845
ROC 5         48.53 +/- 5.5065       647             0.0358
ROC 6         48.15 +/- 5.8286       728             0.062
ROC 7         48.33 +/- 5.9956       713             0.0684
ROC 8         49.2 +/- 5.8283       793             0.0728
ROC 9         47.63 +/- 5.1546       630             0.0409
ROC 11         41.99 +/- 4.445       622             0.028
ROC 12         43.87 +/- 4.5282       710             0.0274
ROC 13         48.86 +/- 5.0139       507             0.0488
ROC 15         47.96 +/- 4.7774       605             0.032
