Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         39.33 +/- 3.8339       500             0.0415
ROC 1         39.07 +/- 3.7679       522             0.0885
ROC 2         41.09 +/- 4.1327       473             0.0515
ROC 3         42.83 +/- 4.285       590             0.0609
ROC 4         42.93 +/- 4.4152       582             0.0856
ROC 5         42.2 +/- 4.1247       537             0.0824
ROC 6         43.44 +/- 4.4675       730             0.0816
ROC 8         42.98 +/- 4.5378       535             0.0907
ROC 9         45.22 +/- 4.8968       540             0.0981
ROC 10         45.95 +/- 4.7964       504             0.0809
ROC 11         40.2 +/- 4.2213       492             0.1019
ROC 12         43.99 +/- 4.5973       633             0.0902
ROC 13         44.46 +/- 4.5829       287             0.058
ROC 14         46.55 +/- 4.6348       318             0.0986
ROC 15         44.88 +/- 4.6558       393             0.0726
