Parameters of the vcal vs. pulse height fits
par[3]*(TMath::Erf((x[0]-par[0])/par[1])+par[2])

3.236426e+02 4.309548e+02 9.634095e-01 1.306226e+02     Pix  0  0
3.238302e+02 4.413348e+02 9.337495e-01 1.328364e+02     Pix  0  1
3.114197e+02 4.414805e+02 9.426760e-01 1.321740e+02     Pix  0  2
3.121459e+02 4.435163e+02 9.365419e-01 1.328379e+02     Pix  0  3
3.020146e+02 4.515730e+02 9.142763e-01 1.345599e+02     Pix  0  4
3.218760e+02 4.445206e+02 9.363319e-01 1.327313e+02     Pix  0  5
3.287503e+02 4.465631e+02 9.027137e-01 1.346648e+02     Pix  0  6
3.263856e+02 4.656072e+02 8.724899e-01 1.371497e+02     Pix  0  7
3.222983e+02 4.495878e+02 8.996388e-01 1.351037e+02     Pix  0  8
3.224201e+02 4.467751e+02 9.251867e-01 1.331992e+02     Pix  0  9
3.269096e+02 4.598645e+02 8.929212e-01 1.354219e+02     Pix  0 10
3.174823e+02 4.723436e+02 8.447861e-01 1.391902e+02     Pix  0 11
3.249463e+02 4.819611e+02 8.210300e-01 1.408320e+02     Pix  0 12
3.233277e+02 4.865891e+02 7.973808e-01 1.426015e+02     Pix  0 13
3.431597e+02 4.846459e+02 8.214029e-01 1.405544e+02     Pix  0 14
3.280487e+02 4.543109e+02 9.316850e-01 1.330037e+02     Pix  0 15
3.194638e+02 4.472960e+02 9.413529e-01 1.324328e+02     Pix  0 16
3.059676e+02 4.383363e+02 9.436818e-01 1.326730e+02     Pix  0 17
3.058741e+02 4.569754e+02 8.757736e-01 1.375353e+02     Pix  0 18
3.249954e+02 4.463150e+02 9.111036e-01 1.344268e+02     Pix  0 19
3.300381e+02 4.486823e+02 8.950587e-01 1.350276e+02     Pix  0 20
3.321030e+02 4.783562e+02 8.512684e-01 1.385923e+02     Pix  0 21
3.227752e+02 4.519656e+02 9.129705e-01 1.343198e+02     Pix  0 22
3.279823e+02 4.376986e+02 9.399999e-01 1.321843e+02     Pix  0 23
3.526709e+02 4.730157e+02 8.461443e-01 1.389037e+02     Pix  0 24
3.234720e+02 4.749818e+02 8.184463e-01 1.413058e+02     Pix  0 25
3.362446e+02 4.624424e+02 8.495646e-01 1.387885e+02     Pix  0 26
3.119858e+02 4.583516e+02 8.770731e-01 1.371509e+02     Pix  0 27
3.101158e+02 4.690945e+02 8.484374e-01 1.394497e+02     Pix  0 28
3.364556e+02 4.648907e+02 8.677765e-01 1.374714e+02     Pix  0 29
3.212982e+02 4.551524e+02 8.440551e-01 1.398903e+02     Pix  0 30
3.157277e+02 4.812125e+02 7.990649e-01 1.430747e+02     Pix  0 31
3.255463e+02 4.803656e+02 8.061454e-01 1.423483e+02     Pix  0 32
3.285780e+02 4.531460e+02 9.189299e-01 1.341207e+02     Pix  0 33
3.276258e+02 4.411781e+02 9.450465e-01 1.321708e+02     Pix  0 34
3.333597e+02 4.359159e+02 9.638693e-01 1.308802e+02     Pix  0 35
3.243643e+02 4.673003e+02 8.538851e-01 1.386384e+02     Pix  0 36
3.214792e+02 4.601509e+02 8.625430e-01 1.380230e+02     Pix  0 37
3.250103e+02 4.471546e+02 8.918124e-01 1.357413e+02     Pix  0 38
3.164985e+02 4.601924e+02 8.664208e-01 1.378237e+02     Pix  0 39
3.208050e+02 4.506130e+02 8.902719e-01 1.360813e+02     Pix  0 40
3.282095e+02 4.464735e+02 9.017909e-01 1.352407e+02     Pix  0 41
3.499538e+02 4.633467e+02 8.525042e-01 1.381767e+02     Pix  0 42
3.229897e+02 4.883697e+02 7.917007e-01 1.435037e+02     Pix  0 43
3.606120e+02 4.612163e+02 8.596284e-01 1.373139e+02     Pix  0 44
3.253732e+02 4.595643e+02 8.693145e-01 1.373295e+02     Pix  0 45
3.198217e+02 4.524806e+02 8.900269e-01 1.361923e+02     Pix  0 46
3.252018e+02 4.684233e+02 8.574349e-01 1.382369e+02     Pix  0 47
3.293679e+02 4.768414e+02 8.233158e-01 1.409139e+02     Pix  0 48
3.459484e+02 4.751714e+02 8.414532e-01 1.393544e+02     Pix  0 49
3.356375e+02 4.730061e+02 8.299472e-01 1.399547e+02     Pix  0 50
3.317317e+02 4.464307e+02 9.439336e-01 1.321428e+02     Pix  0 51
3.364994e+02 4.330386e+02 9.690454e-01 1.302247e+02     Pix  0 52
3.375259e+02 4.504832e+02 9.224414e-01 1.332967e+02     Pix  0 53
3.158949e+02 4.964714e+02 7.898471e-01 1.438369e+02     Pix  0 54
3.195832e+02 4.817682e+02 8.235590e-01 1.407731e+02     Pix  0 55
3.312827e+02 4.777812e+02 8.417332e-01 1.393836e+02     Pix  0 56
3.314624e+02 4.452178e+02 9.137468e-01 1.338271e+02     Pix  0 57
3.271349e+02 4.461924e+02 9.182906e-01 1.334921e+02     Pix  0 58
3.319401e+02 4.537717e+02 9.044794e-01 1.347078e+02     Pix  0 59
3.302310e+02 4.728045e+02 8.357730e-01 1.393751e+02     Pix  0 60
3.195206e+02 4.647158e+02 8.366037e-01 1.397397e+02     Pix  0 61
3.359541e+02 4.853670e+02 8.048041e-01 1.423293e+02     Pix  0 62
3.301695e+02 4.801647e+02 8.390486e-01 1.396621e+02     Pix  0 63
3.329271e+02 4.816642e+02 8.431479e-01 1.391378e+02     Pix  0 64
3.275027e+02 4.663504e+02 8.763835e-01 1.369149e+02     Pix  0 65
3.474602e+02 4.875590e+02 8.121152e-01 1.413054e+02     Pix  0 66
3.295011e+02 4.850459e+02 8.193023e-01 1.408588e+02     Pix  0 67
