Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         58.44 +/- 10.4326       202             0.3464
ROC 1         48.45 +/- 5.8076       251             0.2884
ROC 2         62.93 +/- 10.0509       -5884             5.7416
ROC 3         48.2 +/- 5.5955       343             0.1824
ROC 4         50.64 +/- 6.353       349             0.1288
ROC 5         52.39 +/- 6.0692       228             0.2098
ROC 6         49.82 +/- 5.5587       204             0.1699
ROC 7         49.98 +/- 8.4629       167             0.2372
ROC 8         73.8 +/- 38.2109       -955             0.0465
ROC 9         46.98 +/- 5.1906       343             0.145
ROC 10         47.47 +/- 5.7955       290             0.1038
ROC 11         48.46 +/- 5.6571       310             0.1849
ROC 12         45.39 +/- 4.7309       414             0.1106
ROC 13         45.05 +/- 5.4706       278             0.0865
ROC 14         46.34 +/- 5.0693       426             0.1508
ROC 15         47.86 +/- 6.209       745             0.3051
