Pulse heights for the following Vcal values:
Low range:  10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 
High range:  30 50 70 90 200 

   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  46  47  51  53  57  58  61  62  51  87 120 158 205    Pix  0  0
   0   0   0   0   0   0   0   0   0   0   0   0  34  37  41  42  43  46  46  47  50  55  57  58  62  48  84 115 154 206    Pix  0  1
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  43  45  46  47  50  52  56  58  60  62  63  54  89 122 158 205    Pix  0  2
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  46  46  46  48  50  54  58  58  62  62  63  55  89 122 160 205    Pix  0  3
   0   0   0   0   0   0   0   0   0   0   0  40  41  42  45  46  46  50  51  56  58  60  62  62  64  57  92 126 162 206    Pix  0  4
   0   0   0   0   0   0   0   0   0   0   0  40  42  43  46  46  46  49  53  56  58  60  62  64  65  56  91 125 162 206    Pix  0  5
   0   0   0   0   0   0   0   0   0   0   0  34  35  39  41  42  44  46  47  50  54  56  58  61  62  49  87 122 159 202    Pix  0  6
   0   0   0   0   0   0   0   0   0   0   0  33  35  37  41  42  44  46  46  47  50  54  57  59  60  48  86 119 157 202    Pix  0  7
   0   0   0   0   0   0   0   0   0   0   0  33  35  36  40  42  42  45  46  47  50  53  57  59  59  48  83 116 154 201    Pix  0  8
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  40  41  43  45  46  46  49  52  56  58  61  47  81 116 155 204    Pix  0  9
   0   0   0   0   0   0   0   0   0   0   0  34  38  40  42  44  46  47  48  49  55  57  59  62  62  52  89 123 161 204    Pix  0 10
   0   0   0   0   0   0   0   0   0   0   0   0   0  40  41  43  45  46  47  49  54  56  58  61  62  51  88 122 161 204    Pix  0 11
   0   0   0   0   0   0   0   0   0   0   0  32  34  35  39  41  42  46  46  47  49  53  57  58  61  48  84 121 158 201    Pix  0 12
   0   0   0   0   0   0   0   0   0   0   0  30  34  34  36  40  42  42  46  46  47  49  53  57  59  46  80 115 154 201    Pix  0 13
   0   0   0   0   0   0   0   0   0   0   0  32  34  34  36  41  41  45  46  46  48  51  55  57  60  47  82 119 156 201    Pix  0 14
   0   0   0   0   0   0   0   0   0   0  34  37  40  41  44  45  46  47  50  54  57  58  62  62  63  55  91 126 164 206    Pix  0 15
   0   0   0   0   0   0   0   0   0   0   0  38  41  42  44  45  46  49  51  54  57  58  61  62  63  56  90 127 162 206    Pix  0 16
   0   0   0   0   0   0   0   0   0   0   0  38  41  42  45  46  46  48  52  55  57  58  62  62  64  56  90 126 162 206    Pix  0 17
   0   0   0   0   0   0   0   0   0   0   0   0   0  37  41  41  44  46  46  48  50  54  57  60  62  48  87 121 158 202    Pix  0 18
   0   0   0   0   0   0   0   0   0   0   0  33  35  35  39  41  42  46  46  47  49  53  56  58  61  48  85 119 157 202    Pix  0 19
   0   0   0   0   0   0   0   0   0   0  34  33  35  38  41  42  43  46  46  48  51  54  58  59  61  48  86 121 157 201    Pix  0 20
   0   0   0   0   0   0   0   0   0   0   0  30  31  32  34  36  39  42  42  46  46  46  50  54  57  46  78 111 152 201    Pix  0 21
   0   0   0   0   0   0   0   0   0   0   0  31  33  34  37  40  42  45  46  46  48  51  55  58  58  47  82 116 156 201    Pix  0 22
