 3   Pix  0  0
 1   Pix  0  1
 1   Pix  0  2
 1   Pix  0  3
 1   Pix  0  4
 1   Pix  0  5
 1   Pix  0  6
 1   Pix  0  7
 1   Pix  0  8
 1   Pix  0  9
 1   Pix  0 10
 1   Pix  0 11
 1   Pix  0 12
 1   Pix  0 13
 1   Pix  0 14
 1   Pix  0 15
 1   Pix  0 16
 1   Pix  0 17
 1   Pix  0 18
 1   Pix  0 19
 1   Pix  0 20
 1   Pix  0 21
 1   Pix  0 22
 1   Pix  0 23
 1   Pix  0 24
 1   Pix  0 25
 1   Pix  0 26
 1   Pix  0 27
 3   Pix  0 28
 1   Pix  0 29
 3   Pix  0 30
 1   Pix  0 31
 1   Pix  0 32
 1   Pix  0 33
 1   Pix  0 34
 1   Pix  0 35
 1   Pix  0 36
 1   Pix  0 37
 1   Pix  0 38
 1   Pix  0 39
 3   Pix  0 40
 1   Pix  0 41
 1   Pix  0 42
 1   Pix  0 43
 1   Pix  0 44
 1   Pix  0 45
 3   Pix  0 46
 3   Pix  0 47
 1   Pix  0 48
 1   Pix  0 49
 1   Pix  0 50
 1   Pix  0 51
 3   Pix  0 52
 1   Pix  0 53
 1   Pix  0 54
 1   Pix  0 55
 1   Pix  0 56
 1   Pix  0 57
 1   Pix  0 58
 1   Pix  0 59
 1   Pix  0 60
 1   Pix  0 61
 1   Pix  0 62
 1   Pix  0 63
 1   Pix  0 64
 1   Pix  0 65
 1   Pix  0 66
 1   Pix  0 67
 1   Pix  0 68
 1   Pix  0 69
 1   Pix  0 70
 1   Pix  0 71
 1   Pix  0 72
 1   Pix  0 73
 1   Pix  0 74
 1   Pix  0 75
 1   Pix  0 76
 1   Pix  0 77
 3   Pix  0 78
15   Pix  0 79
 1   Pix  1  0
 3   Pix  1  1
 3   Pix  1  2
 1   Pix  1  3
 1   Pix  1  4
 1   Pix  1  5
 1   Pix  1  6
 1   Pix  1  7
 3   Pix  1  8
 3   Pix  1  9
 3   Pix  1 10
 3   Pix  1 11
 3   Pix  1 12
 7   Pix  1 13
 3   Pix  1 14
 1   Pix  1 15
 3   Pix  1 16
 3   Pix  1 17
 1   Pix  1 18
 1   Pix  1 19
 1   Pix  1 20
 1   Pix  1 21
 3   Pix  1 22
 3   Pix  1 23
 7   Pix  1 24
 1   Pix  1 25
 3   Pix  1 26
 1   Pix  1 27
 3   Pix  1 28
 3   Pix  1 29
 3   Pix  1 30
 3   Pix  1 31
 3   Pix  1 32
 1   Pix  1 33
 1   Pix  1 34
 1   Pix  1 35
 3   Pix  1 36
 7   Pix  1 37
 3   Pix  1 38
 1   Pix  1 39
 1   Pix  1 40
 1   Pix  1 41
 1   Pix  1 42
 7   Pix  1 43
 1   Pix  1 44
 3   Pix  1 45
 1   Pix  1 46
 1   Pix  1 47
 1   Pix  1 48
 1   Pix  1 49
 1   Pix  1 50
 7   Pix  1 51
 3   Pix  1 52
 1   Pix  1 53
 1   Pix  1 54
 3   Pix  1 55
 1   Pix  1 56
 3   Pix  1 57
 1   Pix  1 58
 3   Pix  1 59
 1   Pix  1 60
 1   Pix  1 61
 1   Pix  1 62
 1   Pix  1 63
 1   Pix  1 64
 1   Pix  1 65
 1   Pix  1 66
 1   Pix  1 67
 1   Pix  1 68
 3   Pix  1 69
 1   Pix  1 70
 1   Pix  1 71
 1   Pix  1 72
 1   Pix  1 73
 3   Pix  1 74
 1   Pix  1 75
 1   Pix  1 76
 1   Pix  1 77
 1   Pix  1 78
15   Pix  1 79
 1   Pix  2  0
 1   Pix  2  1
 1   Pix  2  2
 1   Pix  2  3
 3   Pix  2  4
 1   Pix  2  5
 3   Pix  2  6
 1   Pix  2  7
 1   Pix  2  8
 3   Pix  2  9
 1   Pix  2 10
 1   Pix  2 11
 1   Pix  2 12
 1   Pix  2 13
 1   Pix  2 14
 1   Pix  2 15
 1   Pix  2 16
 3   Pix  2 17
 1   Pix  2 18
 7   Pix  2 19
 3   Pix  2 20
 3   Pix  2 21
 3   Pix  2 22
 1   Pix  2 23
 1   Pix  2 24
 3   Pix  2 25
