Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         50.94 +/- 5.4566       119             0.0365
ROC 1         49.63 +/- 5.0435       162             0.0226
ROC 2         48.56 +/- 5.1617       167             0.0378
ROC 3         49.95 +/- 5.3731       170             0.0169
ROC 4         49.06 +/- 5.1804       59             0.0449
ROC 5         50.33 +/- 5.4789       163             0.0559
ROC 6         52.16 +/- 5.6441       124             0.0578
ROC 7         50.78 +/- 5.9958       192             0.0628
ROC 8         48.23 +/- 5.336       343             0.0756
ROC 9         49.85 +/- 5.5326       239             0.0762
ROC 10         52.74 +/- 5.7508       111             0.0705
ROC 11         48.53 +/- 5.2368       160             0.0445
ROC 12         50.31 +/- 5.628       140             0.0396
ROC 13         50.97 +/- 5.389       -9             0.035
ROC 14         45.82 +/- 4.7877       146             0.0217
ROC 15         43.85 +/- 4.3068       200             0.0281
