Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         49.86 +/- 5.2823       -65             0.3983
ROC 1         47.42 +/- 4.9817       -35             0.2225
ROC 2         48.6 +/- 5.1627       -162             0.3755
ROC 3         42.97 +/- 4.6611       -138             0.3721
ROC 4         46.02 +/- 4.9997       -222             0.3467
ROC 5         45.02 +/- 4.7836       -91             0.5771
ROC 6         45.77 +/- 4.9119       -240             0.3653
ROC 7         49.06 +/- 5.5797       -100             0.4062
ROC 8         43.88 +/- 4.8625       -119             0.3687
ROC 9         48.81 +/- 5.4       -171             0.4144
ROC 10         50.52 +/- 5.4897       -156             0.4008
ROC 11         50.82 +/- 5.5631       -278             0.402
ROC 12         46.75 +/- 4.966       -196             0.3637
ROC 13         49.93 +/- 5.37       -224             0.3035
ROC 14         49.6 +/- 5.4612       -176             0.2164
ROC 15         48.9 +/- 5.4321       -133             0.2125
